Data Name	longpass 350nm_AbsTSpec		
Trace Name	longpass 350nm 250-1000 %Transmittance	longpass 350nm 250-1000 %Transmittance	
Wavelength Range	250-1000	250-1000	
Axis	X	Y	
Label	Wavelength [nm]	Transmittance [%]	
Sample Position			
Temperature (Celsius)			
File Timestamp	04/08/2022 14:28:17	04/08/2022 14:28:17	
Polarizer positions (Ex,Em)	( Open, Open)	( Open, Open)	
Rayleigh Masking			
Excitation wavelength (nm)	1000	1000	
Kinetic time (sec)			
420	670	93.2998	
421	671	93.2143	
422	672	93.1282	
423	673	93.0274	
424	674	92.9261	
425	675	92.8192	
426	676	92.7167	
427	677	92.6215	
428	678	92.5488	
429	679	92.4697	
430	680	92.4065	
431	681	92.3471	
432	682	92.2957	
433	683	92.2631	
434	684	92.251	
435	685	92.2386	
436	686	92.2342	
437	687	92.2463	
438	688	92.2617	
439	689	92.3033	
440	690	92.3508	
441	691	92.4171	
442	692	92.5172	
443	693	92.5948	
444	694	92.6758	
445	695	92.7957	
446	696	92.9121	
447	697	93.0387	
448	698	93.1794	
449	699	93.3159	
450	700	93.1714	
451	701	93.3278	
452	702	93.4803	
453	703	93.6609	
454	704	93.8099	
455	705	93.9695	
456	706	94.1315	
457	707	94.2834	
458	708	94.4231	
459	709	94.5566	
460	710	94.6665	
461	711	94.7801	
462	712	94.8437	
463	713	94.9105	
464	714	94.9443	
465	715	94.9725	
466	716	94.9879	
467	717	94.9873	
468	718	94.9783	
469	719	94.9518	
470	720	94.9065	
471	721	94.8421	
472	722	94.753	
473	723	94.6795	
474	724	94.575	
475	725	94.4641	
476	726	94.3147	
477	727	94.1795	
478	728	94.0386	
479	729	93.8837	
480	730	93.7527	
481	731	93.5801	
482	732	93.3919	
483	733	93.2254	
484	734	93.0836	
485	735	92.9257	
486	736	92.7618	
487	737	92.5968	
488	738	92.463	
489	739	92.3235	
490	740	92.1808	
491	741	92.0329	
492	742	91.9356	
493	743	91.8256	
494	744	91.7413	
495	745	91.6266	
496	746	91.5399	
497	747	91.4937	
498	748	91.4215	
499	749	91.355	
500	750	91.3272	
501	751	91.2669	
502	752	91.2045	
503	753	91.2152	
504	754	91.2478	
505	755	91.2756	
506	756	91.3347	
507	757	91.4178	
508	758	91.4999	
509	759	91.5859	
510	760	91.7156	
511	761	91.8291	
512	762	91.9871	
513	763	92.1474	
514	764	92.2947	
515	765	92.4028	
516	766	92.5404	
517	767	92.6868	
518	768	92.8419	
519	769	93.0356	
520	770	93.1654	
521	771	93.4409	
522	772	93.5831	
523	773	93.6512	
524	774	93.776	
525	775	93.8857	
526	776	93.9979	
527	777	94.0954	
528	778	94.2353	
529	779	94.2967	
530	780	94.3558	
531	781	94.3856	
532	782	94.4407	
533	783	94.4412	
534	784	94.4648	
535	785	94.4893	
536	786	94.4282	
537	787	94.4136	
538	788	94.334	
539	789	94.3239	
540	790	94.2129	
541	791	94.1089	
542	792	93.9881	
543	793	93.9166	
544	794	93.7153	
545	795	93.5586	
546	796	93.3002	
547	797	93.1586	
548	798	92.9598	
549	799	92.7277	
550	800	92.5419	
551	801	92.3185	
552	802	92.0957	
553	803	91.8944	
554	804	91.6584	
555	805	91.4337	
556	806	91.2159	
557	807	90.9638	
558	808	90.6989	
559	809	90.4181	
560	810	90.228	
561	811	89.9683	
562	812	89.7904	
563	813	89.5158	
564	814	89.3085	
565	815	89.0912	
566	816	88.8872	
567	817	88.7259	
568	818	88.5348	
569	819	88.3811	
570	820	88.1331	
571	821	87.9452	
572	822	87.8135	
573	823	87.7262	
574	824	87.6709	
575	825	87.6599	
576	826	87.6362	
577	827	87.5971	
578	828	87.5579	
579	829	87.5106	
580	830	87.5104	
581	831	87.5029	
582	832	87.5497	
583	833	87.6087	
584	834	87.6101	
585	835	87.6375	
586	836	87.6907	
587	837	87.7598	
588	838	87.8786	
589	839	88.0256	
590	840	88.1188	
591	841	88.3284	
592	842	88.4884	
593	843	88.5627	
594	844	88.7184	
595	845	88.9114	
596	846	89.1312	
597	847	89.2528	
598	848	89.2736	
599	849	89.499	
600	850	89.9438	
601	851	90.1512	
602	852	90.4152	
603	853	90.6635	
604	854	90.8944	
605	855	91.1254	
606	856	91.3747	
607	857	91.6328	
608	858	91.8712	
609	859	92.1117	
610	860	92.3522	
611	861	92.5867	
612	862	92.8028	
613	863	93.0251	
614	864	93.2109	
615	865	93.2426	
616	866	93.6023	
617	867	93.7898	
618	868	94.0363	
619	869	94.069	
620	870	94.1584	
621	871	94.2298	
622	872	94.4033	
623	873	94.5043	
624	874	94.4918	
625	875	94.5878	
626	876	94.6934	
627	877	94.7241	
628	878	94.6853	
629	879	94.6073	
630	880	94.5279	
631	881	94.4633	
632	882	94.4229	
633	883	94.4159	
634	884	94.3709	
635	885	94.3501	
636	886	94.3014	
637	887	94.2407	
638	888	94.15	
639	889	94.0097	
640	890	93.863	
641	891	93.6427	
642	892	93.4422	
643	893	93.2265	
644	894	93.0142	
645	895	92.8691	
646	896	92.7548	
647	897	92.6378	
648	898	92.495	
649	899	92.3826	
650	900	92.2044	
651	901	91.979	
652	902	91.6794	
653	903	91.3739	
654	904	91.1762	
655	905	91.0461	
656	906	90.9411	
657	907	90.8612	
658	908	90.782	
659	909	90.6596	
660	910	90.478	
661	911	90.4175	
662	912	90.1022	
663	913	89.7729	
664	914	89.6043	
665	915	89.4425	
666	916	89.3342	
667	917	89.252	
668	918	89.2164	
669	919	89.1703	
670	920	89.123	
671	921	89.0694	
672	922	89.0113	
673	923	88.9614	
674	924	88.8828	
675	925	88.817	
676	926	88.7688	
677	927	88.8183	
678	928	88.6379	
679	929	88.5661	
680	930	88.4511	
681	931	88.4848	
682	932	88.4811	
683	933	88.5966	
684	934	88.6117	
685	935	88.6511	
686	936	88.8241	
687	937	89.0236	
688	938	89.209	
689	939	89.3015	
690	940	89.3637	
691	941	89.4909	
692	942	89.6026	
693	943	89.7422	
694	944	89.8712	
695	945	90.0665	
696	946	90.165	
697	947	90.3705	
698	948	90.5063	
699	949	90.6758	
700	950	90.8301	
701	951	90.9966	
702	952	91.1673	
703	953	91.3211	
704	954	91.4709	
705	955	91.5974	
706	956	91.6243	
707	957	91.9694	
708	958	92.1385	
709	959	92.3251	
710	960	92.4911	
711	961	92.7218	
712	962	92.8675	
713	963	93.0834	
714	964	93.276	
715	965	93.4572	
716	966	93.6368	
717	967	93.7385	
718	968	93.9048	
719	969	94.0553	
720	970	94.1734	
721	971	94.3223	
722	972	94.4458	
723	973	94.615	
724	974	94.8002	
725	975	94.9072	
726	976	95.0041	
727	977	95.041	
728	978	95.0121	
729	979	95.031	
730	980	95.0478	
731	981	95.064	
732	982	95.1373	
733	983	95.2139	
734	984	95.282	
735	985	95.0659	
736	986	95.2964	
737	987	95.2731	
738	988	95.1722	
739	989	94.8956	
740	990	94.9388	
741	991	94.8945	
742	992	94.8421	
743	993	94.7788	
744	994	94.7691	
745	995	94.7345	
746	996	94.7025	
747	997	94.4137	
748	998	94.4783	
749	999	94.3397	
750	1000	94.1406	
